Card ID,Card Name,Card URL,Card Description,Labels,Members,Due Date,Attachment Count,Attachment Links,Checklist Item Total Count,Checklist Item Completed Count,Vote Count,Comment Count,Last Activity Date,List ID,List Name,Board ID,Board Name,Archived
564d07aa7721d8698ff0119a,A Brief History of Time,https://trello.com/c/j5qtV2md/183-a-brief-history-of-time,,"Non-fiction (blue), Science (lime)",,,0,,0,0,0,0,2020-05-20T04:22:10.825Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,true
56fb2d7c675b1d1495a304ab,Brooklyn,https://trello.com/c/n2GtxyFm/237-brooklyn,,Fiction (green),,,1,https://trello.com/1/cards/56fb2d7c675b1d1495a304ab/attachments/5eb80ed1e0fd134041ecfa64/download/brooklyn.jpg,0,0,0,0,2020-05-10T14:25:21.659Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,false
564d07aa7721d8698ff011b0,The Call,https://trello.com/c/YrbhWXlS/206-the-call,,"Christian (yellow), Non-fiction (blue)",,,0,,0,0,0,0,2020-05-20T04:22:15.580Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,true
564d07a87721d8698ff01101,The Call of the Wild and White Fang,https://trello.com/c/jlebwqWx/33-the-call-of-the-wild-and-white-fang,,Fiction (green),,,1,https://trello.com/1/cards/564d07a87721d8698ff01101/attachments/5eb80b7e707df843f87f413c/download/call-of-the-wild-white-fang.jpg,0,0,0,0,2020-05-10T14:11:10.742Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,false
5fa18ad1076c1a0bfcba704c,"Called to Create: A Biblical Invitation to Create, Innovate, and Risk",https://trello.com/c/DIUgqkQ4/470-called-to-create-a-biblical-invitation-to-create-innovate-and-risk,,"Business (black), Christian (yellow), Non-fiction (blue)",,,1,https://trello.com/1/cards/5fa18ad1076c1a0bfcba704c/attachments/5fa1ce6e79429715bd272a4d/download/cover.jpg,0,0,0,0,2020-11-15T15:06:35.667Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,false
564d07a97721d8698ff0111a,Candide,https://trello.com/c/wQYrgQtI/58-candide,,Fiction (green),,,1,https://trello.com/1/cards/564d07a97721d8698ff0111a/attachments/5eaecff015eb5a2a7c1afead/download/candide.jpg,0,0,0,0,2020-05-03T14:06:41.190Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,false
564d07a97721d8698ff0114a,The Canterbury Tales,https://trello.com/c/X5vOj7ze/105-the-canterbury-tales,,Play (red),,,0,,0,0,0,0,2020-05-20T04:22:21.562Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,true
564d07a97721d8698ff01176,Catch-22,https://trello.com/c/QtOq9pj9/151-catch-22,,Fiction (green),,,0,,0,0,0,0,2020-05-20T04:22:25.808Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,true
564d07a97721d8698ff01171,The Catcher in the Rye,https://trello.com/c/nMi76oov/146-the-catcher-in-the-rye,,Fiction (green),,,0,,0,0,0,0,2020-05-20T04:22:29.896Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,true
58dffcca3d44a09b200681da,Catching Fire,https://trello.com/c/I5QPS9Dt/298-catching-fire,,Fiction (green),,,0,,0,0,0,0,2020-05-20T04:22:33.452Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,true
59ffa476ae5e5e5872f5eb0d,Chaos Engineering,https://trello.com/c/E9DU8z0f/355-chaos-engineering,,"Non-fiction (blue), Technology (orange)",,,1,https://trello.com/1/cards/59ffa476ae5e5e5872f5eb0d/attachments/5eaed0679388f06ea3907360/download/chaos-engineering.jpg,0,0,0,0,2020-05-03T14:08:39.922Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,false
57c1cbcb628b551b6cd21634,Chaos Monkeys: Obscene Fortune and Random Failure in Silicon Valley,https://trello.com/c/l4COCrLX/254-chaos-monkeys-obscene-fortune-and-random-failure-in-silicon-valley,,"Biography (purple), Business (black), Non-fiction (blue), Technology (orange)",,,1,https://trello.com/1/cards/57c1cbcb628b551b6cd21634/attachments/5eb80b51251ccc6db85f2f65/download/chaos-monkeys.jpg,0,0,0,0,2020-05-10T14:10:26.068Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,false
564d07aa7721d8698ff01184,"A Christmas Carol, the Chimes, and the Cricket on the Hearth",https://trello.com/c/GWdXvV7H/163-a-christmas-carol-the-chimes-and-the-cricket-on-the-hearth,,Fiction (green),,2015-01-03T05:00:00.000Z,0,,0,0,0,0,2020-05-20T04:22:42.455Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,true
564d07aa7721d8698ff011a7,Code Simplicity,https://trello.com/c/ybO0fXNp/196-code-simplicity,,"Non-fiction (blue), Technology (orange)",,,0,,0,0,0,0,2020-05-20T04:22:46.702Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,true
564d07a97721d8698ff0116a,Cold Mountain,https://trello.com/c/6w1WS7c1/139-cold-mountain,,Fiction (green),,,0,,0,0,0,0,2020-05-20T04:22:50.544Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,true
564d07a97721d8698ff01129,Confessions,https://trello.com/c/L17Qcp1W/72-confessions,,"Biography (purple), Christian (yellow), Non-fiction (blue)",,,1,https://trello.com/1/cards/564d07a97721d8698ff01129/attachments/5eb80aa23ac8967095fc71a2/download/confessions.jpg,0,0,0,0,2020-05-10T14:07:30.818Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,false
564d07aa7721d8698ff0118d,A Connecticut Yankee in King Arthur's Court,https://trello.com/c/F04e83Tq/171-a-connecticut-yankee-in-king-arthurs-court,,Fiction (green),,,0,,0,0,0,0,2020-05-20T04:35:12.340Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,true
564d07a87721d8698ff010e4,The Count of Monte Cristo,https://trello.com/c/wXAmqd7n/5-the-count-of-monte-cristo,,Fiction (green),,,1,https://trello.com/1/cards/564d07a87721d8698ff010e4/attachments/5eaed289f8bd808f00ed7643/download/count-of-monte-cristo.jpg,0,0,0,0,2020-05-03T14:17:46.943Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,false
564d07aa7721d8698ff011ae,Counterfeit Gods,https://trello.com/c/eu1CQx8m/204-counterfeit-gods,,"Christian (yellow), Non-fiction (blue)",,,0,,0,0,0,0,2020-05-20T04:35:07.192Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,true
5a13b67c49f6dce3f4a198a3,The Cost of Discipleship,https://trello.com/c/ZilgHqnU/356-the-cost-of-discipleship,,"Christian (yellow), Non-fiction (blue)",,,1,https://trello.com/1/cards/5a13b67c49f6dce3f4a198a3/attachments/5e761225c7b10c08cad17750/download/cover.jpg,0,0,0,0,2020-04-04T17:57:37.088Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,false
564d07aa7721d8698ff011a4,Crazy Busy,https://trello.com/c/HAFtoa6v/195-crazy-busy,,"Christian (yellow), Non-fiction (blue)",,,0,,0,0,0,0,2020-05-20T04:22:58.916Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,true
5c3a08a7503ac0381d4a97a6,Creative Construction: The DNA of Sustained Innovation,https://trello.com/c/iuXOVMDo/397-creative-construction-the-dna-of-sustained-innovation,,"Business (black), Non-fiction (blue)",,,1,https://trello.com/1/cards/5c3a08a7503ac0381d4a97a6/attachments/60f2e2e559396f45e36e31be/download/cover.jpg,0,0,0,0,2021-07-30T00:32:36.570Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,false
564d07aa7721d8698ff011b5,Creative Confidence,https://trello.com/c/FPrbG6vO/209-creative-confidence,,"Design (pink), Non-fiction (blue)",,2015-02-01T05:00:00.000Z,0,,0,0,0,0,2020-05-20T04:23:02.859Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,true
5b9e94a4c81dc60c3f33c43f,Creative Selection,https://trello.com/c/JLDjIjAA/380-creative-selection,,"Business (black), Design (pink), Non-fiction (blue), Technology (orange)",,,1,https://trello.com/1/cards/5b9e94a4c81dc60c3f33c43f/attachments/5ea59f3c4d6ee53d21ffe355/download/creative-selection.jpg,0,0,0,0,2020-04-26T14:48:29.856Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,false
568feaa95be75c750a59191c,"Creativity, Inc.",https://trello.com/c/ZEd7wyn9/228-creativity-inc,,"Business (black), Design (pink), Non-fiction (blue)",,,1,https://trello.com/1/cards/568feaa95be75c750a59191c/attachments/5eb80d52f7e9a138e3833196/download/creativity-inc.jpg,0,0,0,0,2020-05-10T14:19:00.177Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,false
564d07a87721d8698ff010e1,Crime and Punishment,https://trello.com/c/zS92mLHN/2-crime-and-punishment,,Fiction (green),,,1,https://trello.com/1/cards/564d07a87721d8698ff010e1/attachments/5ea5a29a8de1ee63b28bcb9e/download/crime-and-punishment.jpg,0,0,0,0,2020-04-26T15:02:51.699Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,false
5d1e1dacb2cf3f26a48dd5a1,Crucial Conversations,https://trello.com/c/d5coutVE/419-crucial-conversations,,"Business (black), Non-fiction (blue)",,,1,https://trello.com/1/cards/5d1e1dacb2cf3f26a48dd5a1/attachments/5e02510df64aba6a3830f51d/download/51fGo0WXJTL.jpg,0,0,0,0,2019-12-24T17:55:26.188Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,false
564d07a97721d8698ff0113e,Cyrano de Bergerac,https://trello.com/c/uliHIron/94-cyrano-de-bergerac,,Fiction (green),,,0,,0,0,0,0,2020-05-20T04:23:11.204Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,true
564d07a97721d8698ff01170,The Da Vinci Code,https://trello.com/c/xlLg1yyJ/145-the-da-vinci-code,,Fiction (green),,,0,,0,0,0,0,2020-05-20T04:23:15.050Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,true
5e2510f5afee130cac19d0f8,The Culture Map,https://trello.com/c/UX9Y6DFt/438-the-culture-map,,"Business (black), Non-fiction (blue)",,,1,https://trello.com/1/cards/5e2510f5afee130cac19d0f8/attachments/5ffa7de6ca891b66b9cc16db/download/cover.jpg,0,0,0,0,2021-01-22T17:16:23.105Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,false
600db24b1d4a746d0b2adebe,The Curious Incident of the Dog in the Night-Time,https://trello.com/c/5Lcbs4Uq/486-the-curious-incident-of-the-dog-in-the-night-time,,"Audiobook (black), Fiction (green)",,,1,https://trello.com/1/cards/600db24b1d4a746d0b2adebe/attachments/600db25dff878161baabaaa6/download/41X8U%2BnqQVL._SL500_.jpg,0,0,0,0,2021-04-01T03:32:55.469Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,false
564d07a87721d8698ff010fe,Daisy Miller and Washington Square,https://trello.com/c/uaSdJHwG/30-daisy-miller-and-washington-square,,Fiction (green),,,1,https://trello.com/1/cards/564d07a87721d8698ff010fe/attachments/5ea5a0ab14628b3084b7f34a/download/daisy-miller.jpg,0,0,0,0,2020-04-26T14:54:36.881Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,false
564d07a97721d8698ff0113d,David Copperfield,https://trello.com/c/BNSsalsd/91-david-copperfield,,Fiction (green),,,0,,0,0,0,0,2020-05-20T04:23:21.310Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,true
604518047b4128424e93c332,Dear Edward,https://trello.com/c/HdND6EAU/491-dear-edward,,"Audiobook (black), Fiction (green)",,,1,https://trello.com/1/cards/604518047b4128424e93c332/attachments/60451839f629941844d4ff08/download/51KUKWlPUVL._SL500_.jpg,0,0,0,0,2021-06-03T04:02:01.957Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,false
591761218995a1303970d28a,Democracy: Stories from the Long Road to Freedom,https://trello.com/c/sCRFwtlZ/323-democracy-stories-from-the-long-road-to-freedom,,"History (sky), Non-fiction (blue)",,,1,https://trello.com/1/cards/591761218995a1303970d28a/attachments/5eaed1966a6f266b1e9a7eb6/download/democracy.jpg,0,0,0,0,2020-05-03T14:13:43.648Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,false
610c0328f23e7e5bdf9ed34b,Designing Connected Content: Plan and Model Digital Products for Today and Tomorrow,https://trello.com/c/LllMdfLN/508-designing-connected-content-plan-and-model-digital-products-for-today-and-tomorrow,,"Design (pink), Non-fiction (blue), Technology (orange)",,,1,https://trello.com/1/cards/610c0328f23e7e5bdf9ed34b/attachments/610ee7a01f51f75453e5f609/download/cover.jpg,0,0,0,0,2021-08-24T11:36:29.051Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,false
564d07a97721d8698ff01130,Desiring God,https://trello.com/c/RHZr9yUZ/79-desiring-god,,"Christian (yellow), Non-fiction (blue)",,,1,https://trello.com/1/cards/564d07a97721d8698ff01130/attachments/5eb80e779a989257b9007a6d/download/desiring-god.jpg,0,0,0,0,2020-05-10T14:23:52.389Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,false
58dffb321df578cdd4b902ae,Divergent,https://trello.com/c/2WRDpEfg/287-divergent,,Fiction (green),,,0,,0,0,0,0,2020-05-20T04:23:33.719Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,true
568fef2f94a2d16684861813,Do More Better,https://trello.com/c/OMiYSwu6/229-do-more-better,,"Christian (yellow), Non-fiction (blue)",,,1,https://trello.com/1/cards/568fef2f94a2d16684861813/attachments/5eb81100ade62e747a3d268b/download/do-more-better.jpg,0,0,0,0,2020-05-10T14:34:41.476Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,false
5fe4eb6ede6fc86a26462547,Dominion: How the Christian Revolution Remade the World,https://trello.com/c/hI72qF27/475-dominion-how-the-christian-revolution-remade-the-world,,"Christian (yellow), History (sky), Non-fiction (blue)",,,1,https://trello.com/1/cards/5fe4eb6ede6fc86a26462547/attachments/60391bb24cb1541ec6009729/download/cover.jpg,0,0,0,0,2021-04-11T01:14:02.089Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,false
564d07aa7721d8698ff011a6,Doing Data Science,https://trello.com/c/TyVATOWw/197-doing-data-science,,"Non-fiction (blue), Technology (orange)",,,0,,0,0,0,0,2020-05-20T04:23:39.014Z,564d07a87721d8698ff010d7,Finished,564d07a87721d8698ff010d3,Books,true
